coupling,potential,interaction_class,sector,matter_source,matter_filename,matter_unit,antimatter_source,antimatter_unit,mean_abs_A,chi2_uniform,dof,p_value_uniform,chi2_weighted,p_value_weighted,mean_sigma_m_pct,mean_sigma_a_pct,chi2_ratio,lambda_min,lambda_max
gpgp,V2+3,lepton-lepton,ee,Fadeev2022,3Fadeev_2022_4_m_abs_ee,m,Fadeev2022,m,0.9535279241937363,109110.0020337801,300,0.0,70496.4762082055,0.0,14.2,14.8,0.646,2.504900000000005e-12,1.572299999999999e-06
gsgs,V1,lepton-lepton,ee,Delaunay2017,V1_Delaunay_2017,m,Adkins2022,m,0.872739175879262,93298.8309094958,300,0.0,10771.608841032114,0.0,9.1,25.5,0.115,8.169088639710334e-13,1.8791754863538674e-09
gVgV,V2+3,lepton-nucleon,ep,Fadeev2022,3Fadeev_2022_5_m_abs_ep,m,Ficek2018,m,0.7993937780888329,86062.27516914396,300,0.0,45062.05992778412,0.0,7.4,12.7,0.524,1.953299999999998e-11,1.3000000000000006e-08
gVgV,V2+3,lepton-lepton,ee,Fadeev2022,3Fadeev_2022_4_m_abs_ee,m,Fadeev2022,m,0.9535279241937363,109110.0020337801,300,0.0,70496.4762082055,0.0,14.2,14.8,0.646,2.504900000000005e-12,1.572299999999999e-06
gAgA,V2,lepton-nucleon,ep,Karshenboim2011,2Karshenboim_2011_1_millionev_abs_ep,m (pre-converted),Ficek2018,m,0.9998265641280847,119958.3829830423,300,0.0,28224.891376826643,0.0,15.2,21.5,0.235,2.2211000000000002e-11,1.9287000000000012e-08
gAgA,V2+3,lepton-nucleon,ep,Fadeev2022,3Fadeev_2022_5_m_abs_ep,m,Ficek2018,m,0.8236497255081053,89795.5326648432,300,0.0,71333.51094111234,0.0,7.4,12.7,0.794,1.953299999999998e-11,1.3000000000000006e-08
gAgA,V2+3,lepton-nucleon,ep,Fadeev2022,3Fadeev_2022_5_m_abs_ep,m,Fadeev2022,m,0.8044407726873798,87255.0583902177,300,0.0,73630.55631277201,0.0,7.4,7.1,0.844,2.4393000000000015e-11,1.3000000000000006e-08
gAgA,V2,lepton-lepton,ee,Ficek2017,2Ficek_2017_V2_m_abs_ee,m,Karshenboim2011,m,0.9891602308925663,117412.66523102934,300,0.0,34876.746629732166,0.0,14.9,28.2,0.297,1.9699999999999978e-11,1.934899999999999e-08
gAgA,V2,lepton-lepton,ee,Jiao2019,2Jiao_2019_m_abs_ee,m,Karshenboim2011,m,0.333610119293682,18530.150449297347,300,0.0,1615.92813308824,0.0,26.7,17.2,0.087,3.241800000000006e-09,1.934899999999999e-08
gAgA,V2+3,lepton-lepton,ee,Ficek2017,3Ficek_2017_2_m_abs_ee,m,Fadeev2022,m,0.9539007381638025,109194.85227850187,300,0.0,75934.34698586809,0.0,15.3,13.6,0.695,2.504900000000005e-12,1.6286999999999995e-05
